 Written on 17Oct2022 at 16:46:58 
          26
          64
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1
    0    0    0    1    1 -117.831368    0.000000
    0    0    0   12   19    0.000000   -0.000000
    0    0    0   13   19    5.079279    0.000000
    0    0    0   14   19    0.579322    0.000000
    0    0    0   15   19   -0.000000   -0.000000
    0    0    0   16   19    0.823206    0.000000
    0    0    0   17   19    1.258635   -0.000000
    0    0    0   18   19    0.000000   -0.000000
    0    0    0   19   19  -11.592891    0.000000
    0    0    0   20   19    0.053326    0.000000
    0    0    0   21   19    0.000000   -0.000000
    0    0    0   22   19    0.003235   -0.000000
    0    0    0   23   19   -0.320486   -0.000000
    0    0    0   24   19   -0.774944    0.000000
    0    0    0   25   19    0.000000   -0.000000
    0    0    0   26   19   -0.353499   -0.000000
    0    0    0    1   20   -8.757804    0.000000
    0    0    0    2   20   -6.824431    0.000000
    0    0    0    3   20    0.000000   -0.000000
    0    0    0    4   20    0.000940   -0.000000
    0    0    0    5   20    0.795138    0.000000
    0    0    0    6   20    0.000000   -0.000000
    0    0    0    7   20   -0.000700    0.000000
    0    0    0    8   20    0.001080    0.000000
    0    0    0    9   20   -0.000000   -0.000000
    0    0    0   10   20    2.850261    0.000000
    0    0    0   11   20    2.072889    0.000000
    0    0    0   12   20   -0.000000   -0.000000
    0    0    0   13   20    2.815631   -0.000000
    0    0    0   14   20    0.414485    0.000000
    0    0    0   15   20    0.000000    0.000000
    0    0    0   16   20   -0.252302    0.000000
    0    0    0   17   20    0.295709   -0.000000
    0    0    0   18   20    0.000000   -0.000000
    0    0    0   19   20    0.053326   -0.000000
    0    0    0   20   20    2.541204    0.000000
    0    0    0   21   20   -0.000000    0.000000
    0    0    0   22   20    0.005417    0.000000
    0    0    0   23   20    0.553367   -0.000000
    0    0    0   24   20    0.669569   -0.000000
    0    0    0   25   20    0.000000    0.000000
    0    0    0   26   20    0.687617    0.000000
    0    0    0    1   21   -0.000000   -0.000000
    0    0    0    2   21    0.000000   -0.000000
    0    0    0    3   21    2.906569    0.000000
    0    0    0    4   21   -0.000000    0.000000
    0    0    0    5   21    0.000000   -0.000000
    0    0    0    6   21   -0.517040   -0.000000
    0    0    0    7   21   -0.000000    0.000000
    0    0    0    8   21   -0.000000   -0.000000
    0    0    0    9   21    0.053591    0.000000
    0    0    0   10   21    0.000000    0.000000
    0    0    0   11   21    0.000000   -0.000000
    0    0    0   12   21    3.029426    0.000000
    0    0    0   13   21    0.000000    0.000000
    0    0    0   14   21    0.000000   -0.000000
    0    0    0   15   21    0.058416   -0.000000
    0    0    0   16   21   -0.000000    0.000000
    0    0    0   17   21    0.000000   -0.000000
    0    0    0   18   21   -0.545687   -0.000000
    0    0    0   19   21    0.000000    0.000000
    0    0    0   20   21   -0.000000   -0.000000
    0    0    0   21   21    2.281563   -0.000000
    0    0    0   22   21    0.000000   -0.000000
    0    0    0   23   21    0.000000   -0.000000
    0    0    0   24   21   -0.000000    0.000000
    0    0    0   25   21   -0.300060    0.000000
    0    0    0   26   21   -0.000000   -0.000000
    0    0    0    1   22    0.001292   -0.000000
    0    0    0    2   22   -0.001377    0.000000
    0    0    0    3   22   -0.000000   -0.000000
    0    0    0    4   22    2.909083    0.000000
    0    0    0    5   22    0.000257   -0.000000
    0    0    0    6   22   -0.000000    0.000000
    0    0    0    7   22   -0.515967   -0.000000
    0    0    0    8   22    0.053165    0.000000
    0    0    0    9   22   -0.000000    0.000000
    0    0    0   10   22   -8.873059   -0.000000
    0    0    0   11   22    2.982261   -0.000000
    0    0    0   12   22   -0.000000   -0.000000
    0    0    0   13   22   -5.854147   -0.000000
    0    0    0   14   22   -0.144722    0.000000
    0    0    0   15   22   -0.000000    0.000000
    0    0    0   16   22   -0.509722   -0.000000
    0    0    0   17   22   -0.584103    0.000000
    0    0    0   18   22    0.000000   -0.000000
    0    0    0   19   22    0.003235    0.000000
    0    0    0   20   22    0.005417   -0.000000
    0    0    0   21   22    0.000000    0.000000
    0    0    0   22   22    2.331514   -0.000000
    0    0    0   23   22    0.551911   -0.000000
    0    0    0   24   22    0.524003   -0.000000
    0    0    0   25   22   -0.000000   -0.000000
    0    0    0   26   22    0.313525    0.000000
    0    0    0    1   23    4.936268   -0.000000
    0    0    0    2   23   -1.748991   -0.000000
    0    0    0    3   23    0.000000   -0.000000
    0    0    0    4   23   -5.079277    0.000000
    0    0    0    5   23    0.579330   -0.000000
    0    0    0    6   23   -0.000000    0.000000
    0    0    0    7   23   -0.823207    0.000000
    0    0    0    8   23    1.258635   -0.000000
    0    0    0    9   23   -0.000000    0.000000
    0    0    0   10   23    0.185351   -0.000000
    0    0    0   11   23   -0.493642   -0.000000
    0    0    0   12   23   -0.000000   -0.000000
    0    0    0   13   23    0.001674   -0.000000
    0    0    0   14   23   -0.317121   -0.000000
    0    0    0   15   23    0.000000    0.000000
    0    0    0   16   23   -0.000156   -0.000000
    0    0    0   17   23   -0.000707    0.000000
    0    0    0   18   23   -0.000000    0.000000
    0    0    0   19   23   -0.320486    0.000000
    0    0    0   20   23    0.553367    0.000000
    0    0    0   21   23    0.000000    0.000000
    0    0    0   22   23    0.551911    0.000000
    0    0    0   23   23  -11.592873    0.000000
    0    0    0   24   23    0.053343   -0.000000
    0    0    0   25   23    0.000000   -0.000000
